"Usage type","USE2-Lambda-Storage-GB-Second($)","USE2-Lambda-GB-Second($)","USE2-Request($)","Total costs($)"
"Usage type total","8.147e-7","0","0","8.147e-7"
"2025-09-14","0.0000008147","0","0","8.147e-7"
